                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.459,                 2.4604,                 2.7043,                 1.4115,                 0.4283,                0.33536,                0.36576,                0.18738,                 0.4226,                0.34305,                0.36522,                0.19392,                 1.6313,                   2.27,                   2.12,                 1.5499,             0.00047554,             0.00047554,             0.00047554
                      1,                 1.4601,                 2.2008,                 1.8859,                 1.3941,                0.37388,                0.43981,                0.36478,                0.18343,                0.36841,                0.43802,                0.35733,                 0.1769,                 1.5914,                 2.2329,                 1.8802,                 1.5213,             0.00094245,             0.00094245,             0.00094245
                      2,                 1.4525,                 2.2086,                 1.6973,                 1.3885,                0.37315,                0.45812,                 0.4204,                0.22381,                0.37812,                0.46549,                0.42083,                0.22881,                 1.5418,                 2.0316,                 1.6848,                 1.4641,              0.0013999,              0.0013999,              0.0013999
                      3,                 1.4251,                 2.1332,                 1.6033,                 1.3756,                0.38564,                0.44165,                   0.41,                0.22622,                0.39207,                0.44162,                0.41516,                0.22688,                 1.5219,                 2.0156,                 1.6316,                 1.4758,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.3785,                 2.0625,                 1.5318,                 1.3547,                0.49298,                0.45831,                0.45927,                0.25716,                0.48598,                0.45505,                 0.4584,                0.24899,                  1.435,                 1.9148,                 1.4962,                  1.426,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3473,                 2.0125,                 1.4533,                 1.3316,                0.45806,                0.45725,                0.44516,                0.25235,                0.45373,                0.46082,                0.43821,                0.25237,                 1.4263,                 1.9535,                 1.5339,                  1.376,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3357,                 1.9816,                  1.404,                 1.3144,                0.51577,                0.50944,                0.48174,                0.27644,                0.52244,                 0.4902,                0.46637,                0.26485,                 1.4094,                 1.8576,                 1.5029,                 1.3572,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.308,                 1.9564,                 1.3763,                 1.3017,                0.45227,                0.51623,                0.50517,                0.28444,                0.50618,                0.48542,                 0.4858,                0.26999,                 1.4202,                 1.9504,                 1.4279,                 1.3742,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2864,                 1.9293,                 1.3384,                 1.2832,                0.45262,                0.59102,                0.48537,                0.28368,                 0.4485,                0.56736,                0.47137,                0.27402,                 1.3843,                 1.7682,                 1.4117,                 1.3712,                0.00133,                0.00133,                0.00133
                      9,                 1.2763,                 1.8953,                 1.3059,                 1.2675,                0.52532,                0.46875,                0.50409,                0.28432,                0.44031,                0.51121,                0.48675,                0.27303,                 1.3945,                 1.8862,                 1.3747,                 1.3441,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2588,                 1.8517,                  1.268,                 1.2583,                 0.4778,                0.54393,                0.50485,                0.30035,                0.47334,                0.54246,                0.49199,                0.29127,                 1.3679,                 1.8176,                 1.3013,                 1.3448,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2531,                 1.8666,                   1.25,                 1.2484,                0.48406,                0.58315,                0.51447,                0.30519,                0.45697,                0.56675,                0.49741,                0.29976,                 1.3611,                 1.7915,                 1.3008,                 1.3327,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2418,                  1.824,                 1.2295,                 1.2458,                0.44412,                0.57126,                0.53604,                0.31216,                 0.5204,                 0.5283,                0.52215,                0.31091,                 1.3811,                 1.7591,                 1.2907,                   1.34,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2463,                 1.8169,                 1.2142,                 1.2384,                0.55747,                0.54566,                0.55201,                0.32547,                  0.561,                0.52407,                0.53815,                0.30524,                 1.3611,                  1.766,                 1.2564,                 1.3484,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2223,                 1.8224,                 1.1877,                 1.2369,                0.53856,                0.56937,                0.56245,                0.32637,                0.54317,                0.55926,                0.54722,                0.31392,                  1.358,                  1.831,                 1.2422,                 1.3289,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2175,                 1.7853,                 1.1744,                  1.226,                0.53423,                0.56978,                0.55502,                 0.3366,                0.54758,                0.55846,                0.54283,                0.32227,                 1.3466,                 1.7938,                 1.2427,                 1.3302,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1934,                 1.7669,                 1.1549,                 1.2123,                0.57319,                0.54042,                0.55676,                0.33198,                0.57101,                 0.5416,                0.54249,                0.32103,                 1.3461,                 1.7479,                 1.2398,                 1.3302,              0.0012168,              0.0012168,              0.0012168
