                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0735,                 1.5933,                0.99368,                  1.192,                0.55787,                0.64578,                0.60569,                0.38982,                0.53037,                0.61933,                0.58691,                 0.3554,                 1.2525,                 1.6958,                 1.0976,                 1.3697,             0.00065091,             0.00065091,             0.00065091
                     24,                  1.044,                 1.5828,                0.96508,                 1.1801,                0.57667,                0.60339,                0.59195,                0.37397,                0.56152,                0.59772,                0.58064,                0.35625,                 1.2554,                 1.6531,                 1.1081,                   1.35,             0.00061554,             0.00061554,             0.00061554
                     25,                 1.0362,                  1.552,                0.95326,                 1.1717,                0.54637,                0.66617,                0.60647,                0.39275,                0.54349,                0.64242,                0.58742,                0.35853,                 1.2501,                 1.7479,                 1.0664,                 1.3455,             0.00058017,             0.00058017,             0.00058017
                     26,                  1.017,                 1.5271,                0.92785,                 1.1625,                0.54508,                0.66866,                0.61533,                0.38384,                0.52925,                0.64533,                0.58657,                0.35801,                 1.2308,                 1.7018,                 1.0841,                 1.3276,             0.00054481,             0.00054481,             0.00054481
                     27,                  1.012,                 1.5313,                0.89742,                 1.1553,                0.56123,                0.64712,                0.61562,                0.39257,                0.57658,                0.61544,                0.60761,                0.37051,                 1.2558,                 1.6914,                  1.074,                 1.3552,             0.00050944,             0.00050944,             0.00050944
                     28,                0.99626,                  1.495,                0.88312,                 1.1459,                0.57973,                0.62955,                0.62899,                0.39712,                0.55208,                 0.5997,                0.60178,                0.36537,                 1.2511,                 1.7047,                 1.0575,                  1.356,             0.00047407,             0.00047407,             0.00047407
                     29,                0.99083,                 1.4983,                0.86218,                 1.1339,                0.56958,                0.64055,                0.61935,                0.39464,                0.55587,                0.62727,                0.60197,                0.36656,                 1.2392,                 1.7288,                 1.0914,                 1.3479,              0.0004387,              0.0004387,              0.0004387
                     30,                0.98202,                 1.4981,                0.84761,                 1.1317,                0.58002,                0.63826,                0.61421,                0.39109,                0.55762,                0.60119,                0.58519,                0.36309,                  1.266,                 1.7293,                 1.0998,                 1.3664,             0.00040334,             0.00040334,             0.00040334
                     31,                0.96445,                  1.471,                0.82783,                 1.1221,                0.57774,                0.67062,                0.61854,                0.39737,                0.61867,                0.58619,                 0.5986,                0.36713,                 1.2357,                 1.7154,                 1.0696,                 1.3455,             0.00036797,             0.00036797,             0.00036797
                     32,                 0.9445,                 1.4363,                0.81338,                 1.1155,                0.60955,                0.66978,                0.65469,                 0.4125,                0.59155,                0.64436,                0.62561,                  0.378,                 1.2599,                 1.7004,                 1.0843,                 1.3616,              0.0003326,              0.0003326,              0.0003326
                     33,                0.94865,                 1.4373,                0.79525,                 1.1124,                 0.6027,                  0.644,                0.62203,                0.40083,                0.60206,                 0.6075,                0.60094,                0.36733,                 1.2456,                 1.7913,                 1.1129,                 1.3643,             0.00029723,             0.00029723,             0.00029723
                     34,                0.93473,                 1.4208,                0.76627,                 1.0964,                0.61307,                 0.6358,                0.63012,                0.40531,                0.60343,                0.61459,                0.61057,                0.37745,                 1.2279,                 1.7637,                 1.0785,                 1.3413,             0.00026186,             0.00026186,             0.00026186
                     35,                0.91726,                 1.4161,                0.75738,                 1.0917,                0.60277,                0.65485,                0.63203,                0.40311,                0.59331,                0.61165,                0.60456,                0.37205,                 1.2525,                 1.7692,                 1.0806,                 1.3676,              0.0002265,              0.0002265,              0.0002265
                     36,                0.90937,                 1.3849,                0.73088,                 1.0846,                0.63833,                0.64903,                0.64404,                0.40623,                0.61805,                 0.6314,                 0.6214,                0.37473,                 1.2548,                 1.8311,                 1.0959,                 1.3729,             0.00019113,             0.00019113,             0.00019113
                     37,                0.88357,                 1.3645,                0.71031,                  1.073,                0.62268,                0.63712,                0.62899,                0.40122,                0.61361,                0.61795,                0.61059,                0.37293,                 1.2574,                 1.8131,                 1.1108,                 1.3839,             0.00015576,             0.00015576,             0.00015576
                     38,                0.88908,                 1.3684,                0.70958,                 1.0707,                0.59503,                0.66242,                0.63253,                 0.4077,                0.61723,                0.59347,                0.60556,                0.37857,                 1.2406,                 1.8294,                  1.097,                 1.3902,             0.00012039,             0.00012039,             0.00012039
                     39,                0.86531,                 1.3458,                0.67511,                 1.0609,                0.61618,                0.65218,                0.63235,                0.40396,                0.59141,                0.61668,                0.60717,                0.37852,                 1.2594,                 1.8469,                 1.1006,                  1.395,             8.5026e-05,             8.5026e-05,             8.5026e-05
