                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0527,                 1.5692,                0.91509,                 1.1289,                0.57005,                0.64462,                0.60896,                0.37821,                0.55983,                 0.6251,                0.58944,                0.35514,                 1.2912,                 1.7191,                 1.1558,                 1.2997,             0.00065091,             0.00065091,             0.00065091
                     24,                  1.036,                 1.5395,                0.86899,                 1.1264,                0.56983,                0.63295,                0.60018,                0.37265,                0.57826,                0.61591,                0.58445,                0.35483,                 1.3158,                 1.7146,                 1.1643,                 1.3144,             0.00061554,             0.00061554,             0.00061554
                     25,                  1.025,                  1.521,                0.85755,                 1.1093,                0.57201,                0.59221,                0.58274,                0.35956,                0.56157,                0.57202,                0.56592,                 0.3355,                 1.3134,                 1.7395,                 1.1698,                 1.3261,             0.00058017,             0.00058017,             0.00058017
                     26,                 1.0162,                 1.4942,                 0.8505,                 1.1079,                0.56418,                0.65996,                0.58693,                0.36847,                0.54174,                0.63107,                0.56071,                0.34273,                 1.2899,                 1.7315,                 1.1417,                 1.3195,             0.00054481,             0.00054481,             0.00054481
                     27,                 1.0009,                 1.4709,                0.81448,                 1.1057,                0.59349,                0.65041,                0.59712,                 0.3698,                0.57265,                0.62807,                0.58035,                0.34987,                 1.3074,                 1.7798,                 1.1717,                 1.3293,             0.00050944,             0.00050944,             0.00050944
                     28,                0.98364,                 1.4441,                0.80271,                 1.0946,                0.55643,                0.63614,                0.60527,                0.38427,                0.54901,                 0.6153,                0.58572,                0.36295,                 1.2859,                 1.7559,                 1.1652,                 1.3156,             0.00047407,             0.00047407,             0.00047407
                     29,                0.97192,                 1.4423,                0.77784,                 1.0754,                0.62025,                0.62319,                0.60415,                0.37541,                0.59462,                0.60097,                0.58579,                0.35284,                 1.2917,                 1.7565,                 1.1422,                 1.3325,              0.0004387,              0.0004387,              0.0004387
                     30,                0.96015,                 1.4314,                 0.7548,                 1.0761,                0.61582,                0.63325,                0.61389,                0.38137,                0.58706,                0.61173,                0.58105,                0.35272,                 1.2897,                 1.7823,                 1.1429,                 1.3396,             0.00040334,             0.00040334,             0.00040334
                     31,                 0.9515,                 1.4139,                 0.7487,                 1.0636,                0.59248,                0.62844,                0.59134,                0.37302,                0.58772,                0.60327,                0.57293,                0.34514,                  1.281,                 1.7434,                 1.1646,                 1.3172,             0.00036797,             0.00036797,             0.00036797
                     32,                0.94754,                 1.4104,                 0.7495,                 1.0695,                0.57297,                  0.657,                   0.61,                0.38626,                0.58758,                0.62139,                0.58888,                0.35752,                 1.2651,                 1.7586,                 1.1116,                 1.3086,              0.0003326,              0.0003326,              0.0003326
                     33,                0.92923,                 1.3884,                0.71562,                 1.0542,                0.61552,                0.61549,                0.61553,                0.38351,                0.59241,                0.58855,                0.58879,                0.35486,                  1.274,                 1.8245,                 1.1218,                 1.3189,             0.00029723,             0.00029723,             0.00029723
                     34,                0.92558,                 1.3877,                0.69891,                 1.0509,                 0.5907,                0.65455,                0.61945,                0.38944,                0.56971,                0.63404,                0.59411,                0.36521,                 1.2645,                 1.8298,                 1.1263,                  1.317,             0.00026186,             0.00026186,             0.00026186
                     35,                0.91386,                 1.3768,                0.69172,                 1.0503,                0.61469,                0.64609,                0.61726,                0.38858,                0.62735,                0.58989,                0.58783,                0.36846,                 1.2548,                 1.7951,                 1.1328,                 1.3051,              0.0002265,              0.0002265,              0.0002265
                     36,                0.90527,                 1.3727,                0.67028,                 1.0392,                 0.5937,                0.65504,                0.61387,                0.38406,                0.60345,                0.60017,                0.58901,                0.36422,                 1.2763,                 1.8054,                 1.1506,                 1.3155,             0.00019113,             0.00019113,             0.00019113
                     37,                0.89358,                 1.3476,                0.66475,                 1.0398,                0.58937,                0.63837,                0.60823,                0.38977,                0.57727,                0.62408,                0.58769,                0.36591,                  1.267,                 1.7941,                  1.137,                 1.3183,             0.00015576,             0.00015576,             0.00015576
                     38,                0.88561,                 1.3298,                0.64921,                 1.0311,                0.60814,                0.65059,                0.61234,                0.38956,                0.58968,                0.61711,                0.58784,                0.36207,                 1.2593,                 1.7913,                 1.1516,                 1.3162,             0.00012039,             0.00012039,             0.00012039
                     39,                0.88481,                 1.3489,                0.65058,                 1.0263,                0.60505,                0.67629,                0.61774,                0.39077,                0.60829,                 0.6099,                0.59235,                0.36525,                 1.2446,                 1.7873,                  1.138,                 1.3148,             8.5026e-05,             8.5026e-05,             8.5026e-05
